Filename	URN	Suggested Full URN	Title	Author	Editor	Publisher	Publication Year
tlg4102.tlg001.xml	tlg4102.tlg001	urn:cts:greekLit:tlg4102.tlg001.opp-grc1	Catena In Matthaeum (Catena Integra) (E Cod. Paris. Coislin. Gr.	Catenae (Novum Testamentum)	John Anthony Cramer	E Typographeo Academico	1844
tlg4102.tlg002.xml	tlg4102.tlg002	urn:cts:greekLit:tlg4102.tlg002.opp-grc1	Catena In Marcum (Recensio Ii) (E Codd. Oxon. Bodl. Laud. 33 %7	Catenae (Novum Testamentum)	John Anthony Cramer	E Typographeo Academico	1844
tlg4102.tlg004.xml	tlg4102.tlg004	urn:cts:greekLit:tlg4102.tlg004.opp-grc1	Catena In Lucam (Typus B) (E Codd. Paris. Coislin. 23 %7 Oxon.	Catenae (Novum Testamentum)	John Anthony Cramer	E Typographeo Academico	1844
tlg4102.tlg005.xml	tlg4102.tlg005	urn:cts:greekLit:tlg4102.tlg005.opp-grc1	Catena In Joannem (Catena Integra) (E Codd. Paris. Coislin. 23 %7	Catenae (Novum Testamentum)	John Anthony Cramer	E Typographeo Academico	1844
tlg4102.tlg006.xml	tlg4102.tlg006	urn:cts:greekLit:tlg4102.tlg006.opp-grc1	Supplementum Et Varietas Lectionis Ad Catenam In Evangelium	Catenae (Novum Testamentum)	John Anthony Cramer	E Typographeo Academico	1844
tlg4102.tlg007.xml	tlg4102.tlg007	urn:cts:greekLit:tlg4102.tlg007.opp-grc1	Supplementum Et Varietas Lectionis Ad Catenam In Evangelium	Catenae (Novum Testamentum)	John Anthony Cramer	E Typographeo Academico	1844
tlg4102.tlg008.xml	tlg4102.tlg008	urn:cts:greekLit:tlg4102.tlg008.opp-grc1	Catena In Acta (Catena Andreae) (E Cod. Oxon. Coll. Nov. 58)	Catenae (Novum Testamentum)	John Anthony Cramer	E Typographeo Academico	1844
tlg4102.tlg010.opp-grc1.xml	tlg4102.tlg010.opp-grc1	urn:cts:greekLit:tlg4102.tlg010.opp-grc1	Catena In Epistulam Ad Romanos (Typus Vaticanus) (E Cod. Oxon.	Catenae (Novum Testamentum)	John Anthony Cramer	E Typographeo Academico	1844
tlg4102.tlg011.xml	tlg4102.tlg011	urn:cts:greekLit:tlg4102.tlg011.opp-grc1	Catena In Epistulam Ad Romanos (Typus Monacensis) (E Cod. Monac.	Catenae (Novum Testamentum)	John Anthony Cramer	E Typographeo Academico	1844
tlg4102.tlg012.opp-grc1.xml	tlg4102.tlg012.opp-grc1	urn:cts:greekLit:tlg4102.tlg012.opp-grc1	Catena In Epistulam I Ad Corinthios (Typus Vaticanus) (E Cod.	Catenae (Novum Testamentum)	John Anthony Cramer	E Typographeo Academico	1844
tlg4102.tlg013.xml	tlg4102.tlg013	urn:cts:greekLit:tlg4102.tlg013.opp-grc1	Catena In Epistulam Ii Ad Corinthios (Catena Pseudo-Oecumenii)	Catenae (Novum Testamentum)	John Anthony Cramer	E Typographeo Academico	1844
tlg4102.tlg019.xml	tlg4102.tlg019	urn:cts:greekLit:tlg4102.tlg019.opp-grc1	Catena In Epistulam Ad Galatas (Typus Parisinus) (E Cod.	Catenae (Novum Testamentum)	John Anthony Cramer	E Typographeo Academico	1844
tlg4102.tlg020.xml	tlg4102.tlg020	urn:cts:greekLit:tlg4102.tlg020.opp-grc1	Catena In Epistulam Ad Ephesios (Typus Parisinus) (E Cod.	Catenae (Novum Testamentum)	John Anthony Cramer	E Typographeo Academico	1844
tlg4102.tlg021.xml	tlg4102.tlg021	urn:cts:greekLit:tlg4102.tlg021.opp-grc1	Catena In Epistulam Ad Philippenses (Typus Parisinus) (E Cod.	Catenae (Novum Testamentum)	John Anthony Cramer	E Typographeo Academico	1844
tlg4102.tlg022.xml	tlg4102.tlg022	urn:cts:greekLit:tlg4102.tlg022.opp-grc1	Catena In Epistulam Ad Colossenses (Typus Parisinus) (E Cod.	Catenae (Novum Testamentum)	John Anthony Cramer	E Typographeo Academico	1844
tlg4102.tlg023.xml	tlg4102.tlg023	urn:cts:greekLit:tlg4102.tlg023.opp-grc1	Catena In Epistulam I Ad Thessalonicenses (Typus Parisinus) (E	Catenae (Novum Testamentum)	John Anthony Cramer	E Typographeo Academico	1844
tlg4102.tlg024.xml	tlg4102.tlg024	urn:cts:greekLit:tlg4102.tlg024.opp-grc1	Catena In Epistulam Ii Ad Thessalonicenses (Typus Parisinus) (E	Catenae (Novum Testamentum)	John Anthony Cramer	E Typographeo Academico	1844
tlg4102.tlg034.xml	tlg4102.tlg034	urn:cts:greekLit:tlg4102.tlg034.opp-grc1	Catena In Epistulam I Ad Timotheum (E Cod. Paris. Coislin. 204)	Catenae (Novum Testamentum)	John Anthony Cramer	E Typographeo Academico	1844
tlg4102.tlg035.xml	tlg4102.tlg035	urn:cts:greekLit:tlg4102.tlg035.opp-grc1	Catena In Epistulam Ii Ad Timotheum (E Cod. Paris. Coislin. 204)	Catenae (Novum Testamentum)	John Anthony Cramer	E Typographeo Academico	1844
