URN	(Suggested) Full_URN	Title	Author	Editor	Publisher	Publication Year
tlg0018.tlg010	tlg0018.tlg010.opp-grc1	PHILONIS ALEXANDRINI OPERA QVAE SVRERSVNT	LEOPOLDVS COHN	LEOPOLDVS COHN	TYPIS ET IMPENSIS GEORGII REIMERI	XDCCCLXXXXI
tlg0018.tlg011	tlg0018.tlg011.opp-grc1	PHILONIS ALEXANDRINI OPERA QVAE SVRERSVNT	LEOPOLDVS COHN	LEOPOLDVS COHN	TYPIS ET IMPENSIS GEORGII REIMERI	XDCCCLXXXXI
tlg0018.tlg012	tlg0018.tlg012.opp-grc1	PHILONIS ALEXANDRINI OPERA QVAE SVRERSVNT	LEOPOLDVS COHN	LEOPOLDVS COHN	TYPIS ET IMPENSIS GEORGII REIMERI	XDCCCLXXXXI
tlg0018.tlg013	tlg0018.tlg013.opp-grc1	PHILONIS ALEXANDRINI OPERA QVAE SVRERSVNT	LEOPOLDVS COHN	LEOPOLDVS COHN	TYPIS ET IMPENSIS GEORGII REIMERI	XDCCCLXXXXI
tlg0018.tlg014	tlg0018.tlg014.opp-grc1	PHILONIS ALEXANDRINI OPERA QVAE SVRERSVNT	LEOPOLDVS COHN	LEOPOLDVS COHN	TYPIS ET IMPENSIS GEORGII REIMERI	XDCCCLXXXXI
tlg0018.tlg015	tlg0018.tlg015.opp-grc1	PHILONIS ALEXANDRINI OPERA QVAE SVRERSVNT	LEOPOLDVS COHN	LEOPOLDVS COHN	TYPIS ET IMPENSIS GEORGII REIMERI	XDCCCLXXXXI
tlg0018.tlg016	tlg0018.tlg016.opp-grc1	PHILONIS ALEXANDRINI OPERA QVAE SVRERSVNT	LEOPOLDVS COHN	LEOPOLDVS COHN	TYPIS ET IMPENSIS GEORGII REIMERI	XDCCCLXXXXI
tlg0018.tlg017	tlg0018.tlg017.opp-grc1	PHILONIS ALEXANDRINI OPERA QVAE SVRERSVNT	LEOPOLDVS COHN	LEOPOLDVS COHN	TYPIS ET IMPENSIS GEORGII REIMERI	XDCCCLXXXXI
tlg0018.tlg018	tlg0018.tlg018.opp-grc1	PHILONIS ALEXANDRINI OPERA QVAE SVRERSVNT	LEOPOLDVS COHN	LEOPOLDVS COHN	TYPIS ET IMPENSIS GEORGII REIMERI	XDCCCLXXXXI
tlg0018.tlg019	tlg0018.tlg019.opp-grc1	PHILONIS ALEXANDRINI OPERA QVAE SVRERSVNT	LEOPOLDVS COHN	LEOPOLDVS COHN	TYPIS ET IMPENSIS GEORGII REIMERI	XDCCCLXXXXI
tlg0018.tlg024	tlg0018.tlg024.opp-grc1	PHILONIS ALEXANDRINI OPERA QVAE SVPERSVNT	LEOPOLDVS COHN ET PAVLVS WENDLAND	LEOPOLDVS COHN ET PAVLVS WENDLAND	TYPIS ET IMPENSIS GEORGII REIMERI	MCMII
