URN	(Suggested) Full_URN	Title	Author	Editor	Publisher	Publication Year
tlg2200.tlg00437		Orationes XXVI-L	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1906
tlg2200.tlg00438		Orationes XXVI-L	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1906
tlg2200.tlg00439		Orationes XXVI-L	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1906
tlg2200.tlg00440		Orationes XXVI-L	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1906
tlg2200.tlg00441		Orationes XXVI-L	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1906
tlg2200.tlg00442		Orationes XXVI-L	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1906
tlg2200.tlg00443		Orationes XXVI-L	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1906
tlg2200.tlg00444		Orationes XXVI-L	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1906
tlg2200.tlg00445		Orationes XXVI-L	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1906
tlg2200.tlg00446		Orationes XXVI-L	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1906
tlg2200.tlg00447		Orationes XXVI-L	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1906
tlg2200.tlg00448		Orationes XXVI-L	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1906
tlg2200.tlg00449		Orationes XXVI-L	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1906
tlg2200.tlg00450		Orationes XXVI-L	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1906
tlg2200.tlg00451		Orationes LI-LXIV	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1908
tlg2200.tlg00452		Orationes LI-LXIV	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1908
tlg2200.tlg00453		Orationes LI-LXIV	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1908
tlg2200.tlg00454		Orationes LI-LXIV	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1908
tlg2200.tlg00455		Orationes LI-LXIV	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1908
tlg2200.tlg00456		Orationes LI-LXIV	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1908
tlg2200.tlg00457		Orationes LI-LXIV	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1908
tlg2200.tlg00458		Orationes LI-LXIV	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1908
tlg2200.tlg00459		Orationes LI-LXIV	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1908
tlg2200.tlg00460		Orationes LI-LXIV	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1908
tlg2200.tlg00461		Orationes LI-LXIV	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1908
tlg2200.tlg00462		Orationes LI-LXIV	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1908
tlg2200.tlg00463		Orationes LI-LXIV	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1908
tlg2200.tlg00464		Orationes LI-LXIV	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1908
tlg2200.tlg00501		Declamationes I-XII	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1909
tlg2200.tlg00502		Declamationes I-XII	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1909
tlg2200.tlg00503		Declamationes I-XII	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1909
tlg2200.tlg00504		Declamationes I-XII	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1909
tlg2200.tlg00505		Declamationes I-XII	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1909
tlg2200.tlg00506		Declamationes I-XII	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1909
tlg2200.tlg00507		Declamationes I-XII	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1909
tlg2200.tlg00508		Declamationes I-XII	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1909
tlg2200.tlg00509		Declamationes I-XII	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1909
tlg2200.tlg00510		Declamationes I-XII	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1909
tlg2200.tlg00511		Declamationes I-XII	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1909
tlg2200.tlg00512		Declamationes I-XII	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1909
tlg2200.tlg00513		Orationes XIII-XXX	Libanius	Richardus Foerster	In Aedibus B. G. Teubneri	1911
tlg2200.tlg00514		Orationes XIII-XXX	Libanius	Richardus Foerster	In Aedibus B. G. Teubneri	1911
tlg2200.tlg00515		Orationes XIII-XXX	Libanius	Richardus Foerster	In Aedibus B. G. Teubneri	1911
tlg2200.tlg00516		Orationes XIII-XXX	Libanius	Richardus Foerster	In Aedibus B. G. Teubneri	1911
tlg2200.tlg00517		Orationes XIII-XXX	Libanius	Richardus Foerster	In Aedibus B. G. Teubneri	1911
tlg2200.tlg00518		Orationes XIII-XXX	Libanius	Richardus Foerster	In Aedibus B. G. Teubneri	1911
tlg2200.tlg00519		Orationes XIII-XXX	Libanius	Richardus Foerster	In Aedibus B. G. Teubneri	1911
tlg2200.tlg00520		Orationes XIII-XXX	Libanius	Richardus Foerster	In Aedibus B. G. Teubneri	1911
tlg2200.tlg00521		Orationes XIII-XXX	Libanius	Richardus Foerster	In Aedibus B. G. Teubneri	1911
tlg2200.tlg00522		Orationes XIII-XXX	Libanius	Richardus Foerster	In Aedibus B. G. Teubneri	1911
tlg2200.tlg00523		Orationes XIII-XXX	Libanius	Richardus Foerster	In Aedibus B. G. Teubneri	1911
tlg2200.tlg00524		Orationes XIII-XXX	Libanius	Richardus Foerster	In Aedibus B. G. Teubneri	1911
tlg2200.tlg00525		Orationes XIII-XXX	Libanius	Richardus Foerster	In Aedibus B. G. Teubneri	1911
tlg2200.tlg00526		Orationes XIII-XXX	Libanius	Richardus Foerster	In Aedibus B. G. Teubneri	1911
tlg2200.tlg00527		Orationes XIII-XXX	Libanius	Richardus Foerster	In Aedibus B. G. Teubneri	1911
tlg2200.tlg00528		Orationes XIII-XXX	Libanius	Richardus Foerster	In Aedibus B. G. Teubneri	1911
tlg2200.tlg00529		Orationes XIII-XXX	Libanius	Richardus Foerster	In Aedibus B. G. Teubneri	1911
tlg2200.tlg00530		Orationes XIII-XXX	Libanius	Richardus Foerster	In Aedibus B. G. Teubneri	1911
tlg2200.tlg00531		Declamationes XXXI-LI	Libanius	Richardus Foerster	In Aedibus B. G. Teubneri	1913
tlg2200.tlg00532		Declamationes XXXI-LI	Libanius	Richardus Foerster	In Aedibus B. G. Teubneri	1913
tlg2200.tlg00533		Declamationes XXXI-LI	Libanius	Richardus Foerster	In Aedibus B. G. Teubneri	1913
tlg2200.tlg00534		Declamationes XXXI-LI	Libanius	Richardus Foerster	In Aedibus B. G. Teubneri	1913
tlg2200.tlg00535		Declamationes XXXI-LI	Libanius	Richardus Foerster	In Aedibus B. G. Teubneri	1913
tlg2200.tlg00536		Declamationes XXXI-LI	Libanius	Richardus Foerster	In Aedibus B. G. Teubneri	1913
tlg2200.tlg00537		Declamationes XXXI-LI	Libanius	Richardus Foerster	In Aedibus B. G. Teubneri	1913
tlg2200.tlg00538		Declamationes XXXI-LI	Libanius	Richardus Foerster	In Aedibus B. G. Teubneri	1913
tlg2200.tlg00539		Declamationes XXXI-LI	Libanius	Richardus Foerster	In Aedibus B. G. Teubneri	1913
tlg2200.tlg00540		Declamationes XXXI-LI	Libanius	Richardus Foerster	In Aedibus B. G. Teubneri	1913
tlg2200.tlg00541		Declamationes XXXI-LI	Libanius	Richardus Foerster	In Aedibus B. G. Teubneri	1913
tlg2200.tlg00542		Declamationes XXXI-LI	Libanius	Richardus Foerster	In Aedibus B. G. Teubneri	1913
tlg2200.tlg00543		Declamationes XXXI-LI	Libanius	Richardus Foerster	In Aedibus B. G. Teubneri	1913
tlg2200.tlg00544		Declamationes XXXI-LI	Libanius	Richardus Foerster	In Aedibus B. G. Teubneri	1913
tlg2200.tlg00545		Declamationes XXXI-LI	Libanius	Richardus Foerster	In Aedibus B. G. Teubneri	1913
tlg2200.tlg00546		Declamationes XXXI-LI	Libanius	Richardus Foerster	In Aedibus B. G. Teubneri	1913
tlg2200.tlg00547		Declamationes XXXI-LI	Libanius	Richardus Foerster	In Aedibus B. G. Teubneri	1913
tlg2200.tlg00548		Declamationes XXXI-LI	Libanius	Richardus Foerster	In Aedibus B. G. Teubneri	1913
tlg2200.tlg00549		Declamationes XXXI-LI	Libanius	Richardus Foerster	In Aedibus B. G. Teubneri	1913
tlg2200.tlg00550		Declamationes XXXI-LI	Libanius	Richardus Foerster	In Aedibus B. G. Teubneri	1913
tlg2200.tlg00551		Declamationes XXXI-LI	Libanius	Richardus Foerster	In Aedibus B. G. Teubneri	1913
tlg2200.tlg008		Fasc. I. Libanii Qui Feruntur Characteres Epistolici Prolegomena ad Epistulas	Libanius	Richardus Foerster	Georg Olms Verlagsbuchhandlung	1963
tlg2371.tlg001		CORPUS SCRIPTORUM HISTORIAE BYZANTINAE.	B. G. NIEBUHRII C. F.	B. G. NIEBUHRII C. F.	IMPENSIS ED. WEBERI	MDCCCXXXII.
tlg2703.tlg001		ANNAE COMNENAE	AUGUSTUS REIFFERSCHEIDII	AUGUSTUS REIFFERSCHEIDII	IN AEDIBUS B. G. TEUBNERI	MDCCCLXXXIV
tlg2768.tlg001		GELASIUS KIRCHENGESCHICHTE	DR. MARGRET HEINEMANN	DR. MARGRET HEINEMANN	J. C. HINRICHS'SCHE BUCHHANDLUNG	1918
tlg2959.tlg004		METHODIUS	D.G. NATHANAEL BONWETSCH	D.G. NATHANAEL BONWETSCH	J. C. HINRICHS'SCHE BUCHHANDLUNG	1917
tlg2959.tlg005		METHODIUS	D.G. NATHANAEL BONWETSCH	D.G. NATHANAEL BONWETSCH	J. C. HINRICHS'SCHE BUCHHANDLUNG	1917
tlg2959.tlg006		METHODIUS	D.G. NATHANAEL BONWETSCH	D.G. NATHANAEL BONWETSCH	J. C. HINRICHS'SCHE BUCHHANDLUNG	1917
tlg2959.tlg007		METHODIUS	D.G. NATHANAEL BONWETSCH	D.G. NATHANAEL BONWETSCH	J. C. HINRICHS'SCHE BUCHHANDLUNG	1917
tlg2959.tlg008		METHODIUS	D.G. NATHANAEL BONWETSCH	D.G. NATHANAEL BONWETSCH	J. C. HINRICHS'SCHE BUCHHANDLUNG	1917
tlg2959.tlg010		METHODIUS	D.G. NATHANAEL BONWETSCH	D.G. NATHANAEL BONWETSCH	J. C. HINRICHS'SCHE BUCHHANDLUNG	1917
tlg3135.tlg001.opp-grc2		IOANNIS ZONARAE EPITOME HISTORIARUM.	LUDOVICUS DINDORFIUS.	LUDOVICUS DINDORFIUS.	IN AEDIBUS B. G. TEUBNERI.	1869
tlg3135.tlg001.opp-grc3		IOANNIS ZONARAE EPITOME HISTORIARUM	LUDOVICUS DINDORFIUS.	LUDOVICUS DINDORFIUS.	IN AEDIBUS Β. G. TEUBNERI.	1868
tlg4013.tlg001		COMMENTARIA IN ARISTOTELEM GRAECA	I.L. HEIBERG	I.L. HEIBERG	TYPIS ET IMPENSIS GEORGII REIMERI	MDCCCLXXXXIII.
tlg4013.tlg003		COMENTARIA IN ARISTOTELEM GRAECA	CAROLUS KALBFLEISCH	CAROLUS KALBFLEISCH	TYPIS ET IMPENSIS GEORGII REIMERI	MCMVII
tlg4013.tlg004		In Physicorum Libros Quattuor Priores	Simplicius	Hermannus Diels	Berolini: Typis et Impensis G. Reimeri	1882
tlg4013.tlg004		COMMENTARIA IN ARISTOTELEM GRAECA	HERMANNUS DIELS	HERMANNUS DIELS	TYPIS ET IMPENSIS GEORGH REIMERI	MDCCCLXXXXV
tlg4013.tlg005		COMMENTARIA IN ARISTOTELEM GRAECA	MICHAEL HAYDUCK	MICHAEL HAYDUCK	TYPIS ET IMPENSIS G. REIMERI	MDCCCLXXXII
tlg4015.tlg001		COMMENTARIA IN ARISTOTELEM GRAECA	ADOLFUS BUSSE	ADOLFUS BUSSE	TYPIS ET IMPENSIS GEORGII REIMERI	MDCCCLXXXXVIII
tlg4015.tlg002		COMMENTARIA IN ARISTOTELEM GRAECA	ADOLFUS BUSSE	ADOLFUS BUSSE	TYPIS ET IMPENSIS GEORGII REIMERI	MDCCCLXXXXVIII
tlg4015.tlg003		COMMENTARIA IN ARISTOTELEM GRAECA	MAXIMILLANUS WALLIES	MAXIMILLANUS WALLIES	TYIS ET IMPENSIS GEORGH REIMERI	MCMIX
tlg4015.tlg005		In Aristotelis meteorologicorum librum primum commentarium	John Philoponus	Michael Hayduck	Berolini: Typis et Impensis G. Reimeri	1901
tlg4015.tlg008		COMMENTARIA IN ARISTOTELEM GRAECA	MICHAEL HAYDUCK	MICHAEL HAYDUCK	TYPIS ET IMPENSIS GEORGII REIMERI	MDCCCLXXXXVII
tlg4015.tlg009		COMENTARIA IN ARISTOTELEM GRAECA	HIERONYMUS VITELLI	HIERONYMUS VITELLI	TYPIS ET IMPENSIS GEORGII REIMERI	MDCCCLXXXVII.
tlg4016.tlg001		In Aristotelis Categorias Commentarium	Dexippus	Adolfus Busse	Berolini: Typis et Impensis G. Reimeri	1888
tlg4016.tlg002		In Aristotelis Categorias Commentarium	Dexippus	Adolfus Busse	Berolini: Typis et Impensis G. Reimeri	1888
tlg4016.tlg003		In Aristotelis Categorias Commentarium	Dexippus	Adolfus Busse	Berolini: Typis et Impensis G. Reimeri	1888
tlg4016.tlg004		In Aristotelis Categorias Commentarium	Dexippus	Adolfus Busse	Berolini: Typis et Impensis G. Reimeri	1888
tlg4017.tlg001		COMMENTARIA IN ARISTOTELEM GRAECA	GUILELMUS KROLL	GUILELMUS KROLL	TYPIS ET IMPENSIS GEORGII REIMERI	MCMII
tlg4018.tlg001		COMMENTARIA IN ARISTOTELEM GRAECA	GUILELMUS KROLL	GUILELMUS KROLL	TYPIS ET IMPENSIS GEORGII REIMERI	MCMII
tlg4019.tlg001		COMMENTARIA IN ARISTOTELEM GRAECA	ADOLFUS BUSSE	ADOLFUS BUSSE	IN AEDIBUS B. G. TEUBNERI	MDCCCLXVII
tlg4019.tlg003		COMMENTARIA IN ARISTOTELEM GRAECA	ADOLFUS BUSSE	ADOLFUS BUSSE	IN AEDIBUS B. G. TEUBNERI	MDCCCLXVII
tlg4020.tlg001		COMMENTARIA IN ARISTOTELEM GRAECA	ADOLFUS BUSSE	ADOLFUS BUSSE	TYPIS ET IMPENSIS GEORGII REIMERI	MCM
tlg4021.tlg002		COMMENTARIA IN ARISTOTELEM GRAECA	ADOLFUS BUSSE	ADOLFUS BUSSE	TYPIS ET IMPENSIS GEORGII REIMERI	MCM
tlg4024.tlg001		CORPUS SCRIPTORUM HISTORIAE	B. G. NIEBUHRII C.F.	B. G. NIEBUHRII C.F.	IN AEDIBUS B. G. TEUBNERI	MDCCCLXVII
tlg4027.tlg001.opp.grc1		In libros de anima paraphrasis	Sophonias	Michael Hayduck	Berolini: Typis et Impensis G. Reimeri	1883-1884
tlg4030.tlg001.opp-grc1		In libros de anima paraphrasis	Sophonias	Michael Hayduck	Berolini: Typis et Impensis G. Reimeri	1883-1884
tlg4031.tlg002		COMMENTARIA IN ARISTOTELEM GRAECA	GUSTAVUS HEYLBUT	GUSTAVUS HEYLBUT	TYPIS ET IMPENSIS GEORGII BEIMERI	MDCCCLXXXXII
tlg4033.tlg003		In Ethica Nicomachea quae supersunt commentaria	Aspasius	Gustavus Heylbut	Berolini: Typis et Impensis G. Reimeri	1889
tlg4034.tlg002.opp-grc1		In parva naturalia commentaria	Michael Ephesius	Paulus Wendland	Berolini: Typis et Impensis G. Reimeri	1903
tlg4034.tlg003		In parva naturalia commentaria	Michael Ephesius	Paulus Wendland	Berolini: Typis et Impensis G. Reimeri	1903
tlg4034.tlg006		In parva naturalia commentaria	Michael Ephesius	Paulus Wendland	Berolini: Typis et Impensis G. Reimeri	1903
tlg4036.tlg001		PROCLUS DIADOCHUS	GVILELMVS KROLL	GVILELMVS KROLL	IN AEDIBVS B. G. TEVBNERI	MCMI
tlg4089.tlg003		THEODORET KIRCHENGESCHICHTE	DR. LÉON PARMENTIER	DR. LÉON PARMENTIER	J.C. HINRICHS'SCHE BUCHHANDLUNG	1911
tlg4102.tlg001		In Evangelia S. Matthaei et S. Marci	None	John Anthony Cramer	E Typographeo Academico	1844
tlg4102.tlg002		In Evangelia S. Matthaei et S. Marci	None	John Anthony Cramer	E Typographeo Academico	1844
tlg4102.tlg004		In Evangelia S. Lucae et S. Joannis	None	John Anthony Cramer	E Typographeo Academico	1844
tlg4102.tlg005		In Evangelia S. Lucae et S. Joannis	None	John Anthony Cramer	E Typographeo Academico	1844
tlg4102.tlg006		In Evangelia S. Lucae et S. Joannis	None	John Anthony Cramer	E Typographeo Academico	1844
