URN	Title	Author	Editor	Publisher	Publication Year
urn:cts:greekLit:tlg4013.tlg004.opp-grc1	Commentaria In Aristotelem Graeca	Hermannus Diels	Hermannus Diels	Typis Et Impensis Georgh Reimeri	MDCCCLXXXXV
urn:cts:greekLit:tlg4013.tlg005.opp-grc1	Commentaria In Aristotelem Graeca	Michael Hayduck	Michael Hayduck	Typis Et Impensis G. Reimeri	MDCCCLXXXII
urn:cts:greekLit:tlg4015.tlg001.opp-grc1	Commentaria In Aristotelem Graeca	Adolfus Busse	Adolfus Busse	Typis Et Impensis Georgii Reimeri	MDCCCLXXXXVIII
urn:cts:greekLit:tlg4015.tlg002.opp-grc1	Commentaria In Aristotelem Graeca	Adolfus Busse	Adolfus Busse	Typis Et Impensis Georgii Reimeri	MDCCCLXXXXVIII
urn:cts:greekLit:tlg4015.tlg003.opp-grc1	Commentaria In Aristotelem Graeca	Maximillanus Wallies	Maximillanus Wallies	Tyis Et Impensis Georgh Reimeri	MCMIX
urn:cts:greekLit:tlg4015.tlg005.opp-grc1	In         Aristotelis Meteorologicorum Librum Primum Commentarium	John         Philoponus	Michael Hayduck	Berolini: Typis Et Impensis G. Reimeri	1901
urn:cts:greekLit:tlg4015.tlg006.opp-grc1	In Aristotelis Meteorologicorum Librum Primum Commentarium	John Philoponus	Michael Hayduck	Berolini: Typis Et Impensis G. Reimeri	1901
urn:cts:greekLit:tlg4015.tlg007.opp-grc1	In Aristotelis Meteorologicorum Librum Primum Commentarium	John Philoponus	Michael Hayduck	Berolini: Typis Et Impensis G. Reimeri	1901
urn:cts:greekLit:tlg4015.tlg008.opp-grc1	Commentaria In Aristotelem Graeca	Michael Hayduck	Michael Hayduck	Typis Et Impensis Georgii Reimeri	MDCCCLXXXXVII
urn:cts:greekLit:tlg4015.tlg009.opp-grc1	Comentaria In Aristotelem Graeca	Hieronymus Vitelli	Hieronymus Vitelli	Typis Et Impensis Georgii Reimeri	MDCCCLXXXVII.
urn:cts:greekLit:tlg4016.tlg001.opp-grc2	In Aristotelis Categorias Commentarium	Dexippus	Adolfus Busse	Berolini: Typis Et Impensis G. Reimeri	1888
urn:cts:greekLit:tlg4016.tlg002.opp-grc2	In Aristotelis Categorias Commentarium	Dexippus	Adolfus Busse	Berolini: Typis Et Impensis G. Reimeri	1888
urn:cts:greekLit:tlg4016.tlg003.opp-grc2	In Aristotelis Categorias Commentarium	Dexippus	Adolfus Busse	Berolini: Typis Et Impensis G. Reimeri	1888
urn:cts:greekLit:tlg4016.tlg004.opp-grc2	In Aristotelis Categorias Commentarium	Dexippus	Adolfus Busse	Berolini: Typis Et Impensis G. Reimeri	1888
urn:cts:greekLit:tlg4017.tlg001.opp-grc1	Commentaria In Aristotelem Graeca	Guilelmus Kroll	Guilelmus Kroll	Typis Et Impensis Georgii Reimeri	MCMII
urn:cts:greekLit:tlg4018.tlg001.opp-grc2	Commentaria In Aristotelem Graeca	Guilelmus Kroll	Guilelmus Kroll	Typis Et Impensis Georgii Reimeri	MCMII
urn:cts:greekLit:tlg4019.tlg001.opp-grc1	Commentaria In Aristotelem Graeca	Adolfus Busse	Adolfus Busse	In Aedibus B. G. Teubneri	MDCCCLXVII
urn:cts:greekLit:tlg4019.tlg003.opp-grc1	Commentaria In Aristotelem Graeca	Adolfus Busse	Adolfus Busse	In Aedibus B. G. Teubneri	MDCCCLXVII
urn:cts:greekLit:tlg4020.tlg001.opp-grc1	Commentaria In Aristotelem Graeca	Adolfus Busse	Adolfus Busse	Typis Et Impensis Georgii Reimeri	MCM
urn:cts:greekLit:tlg4020.tlg002.opp-grc1	Commentaria In Aristotelem Graeca	Adolfus Busse	Adolfus Busse	Typis Et Impensis Georgii Reimeri	MCM
urn:cts:greekLit:tlg4021.tlg002.opp-grc1	Commentaria In Aristotelem Graeca	Adolfus Busse	Adolfus Busse	Typis Et Impensis Georgii Reimeri	MCM
urn:cts:greekLit:tlg4024.tlg001.opp-grc2	Corpus Scriptorum Historiae	B. G. Niebuhrii C.F.	B. G. Niebuhrii C.F.	In Aedibus B. G. Teubneri	MDCCCLXVII
urn:cts:greekLit:tlg4024.tlg002.opp-grc12	Corpus Scriptorum Historiae	B. G. Niebuhrii C.F.	B. G. Niebuhrii C.F.	In Aedibus B. G. Teubneri	MDCCCLXVII
urn:cts:greekLit:tlg4027.tlg001.opp-grc1	In Libros De Anima Paraphrasis	Sophonias	Michael Hayduck	Berolini: Typis Et Impensis G. Reimeri	1883-1884
urn:cts:greekLit:tlg4030.tlg001.opp-grc1	In Libros De Anima Paraphrasis	Sophonias	Michael Hayduck	Berolini: Typis Et Impensis G. Reimeri	1883-1884
urn:cts:greekLit:tlg4031.tlg002.opp-grc1	Commentaria In Aristotelem Graeca	Gustavus Heylbut	Gustavus Heylbut	Typis Et Impensis Georgii Beimeri	MDCCCLXXXXII
